#	tipo	traducción
#	idioma	es
#	traducción	en
#	version	1
Una canción es un tipo de magia	A song is a type of magic	
que afecta al corazón.	that affects the heart.	
Es una magia que suena con fuerza	It is a magic that sounds with strength	
y llama la atención.	and catches the attention.	
No hay estallidos, ni luces divinas	There are no bursts, nor divine lights	
pero hay algo mejor.	but there is something better.	
Hay un mensaje, que llega muy lejos,	There is a message, that reaches very far,	
hay una conexión.	there is a connection.	
Una canción es un tipo de magia	A song is a type of magic	
que afecta al corazón.	that affects the heart.	
Es una magia que convence al mundo	It is a magic that convinces the world	
haciéndolo mejor.	making it better.	
Hola ¿Cómo estás?	Hello, how are you?	
Yo estoy bien.	I am doing well.	
si tú estás aquí.	if you are here.	
Yo estoy feliz.	I am happy.	
al verte sonreír.	seeing you smile.	
Si es un sueño	If it's a dream	
Te voy a preguntar.	I'm going to ask you.	
Si este mundo es real.	If this world is real.	
Pero tú ya sabes lo que quiero escuchar.	But you already know what I want to hear.	
No, no, no. No me digas que no.	No, no, no. Don't tell me no.	
Sí, sí, sí. Dime que sí.	Yes, yes, yes. Tell me yes.	
Y si es un sueño, déjame soñar feliz.	And if it's a dream, let me dream happily.	
